AIP 97, Academic Internship (2, 4), 2, 4
AIP 197, Academic Internship  Program (4, 8, 12), 4, 8, 12
AIP 197F, Academic Internship  Program—Foreign (4, 8, 12), 4, 8, 12
AIP 197P, Public Service Minor Internship (4), 4
LTEN 21, Introduction  to the Literature of the British Isles: Pre-1660 (4), 4
LTEN 22, Introduction  to the Literature of the British Isles: 1660–1832 (4), 4
LTEN 23, Introduction  to the Literature of the British Isles: 1832–Present (4), 4
LTEN 25, Introduction  to the Literature of the United States, Beginnings to 1865 (4), 4
LTEN 26, Introduction  to the Literature of the United States, 1865 to the Present (4), 4
LTEN 27, Introduction  to African American Literature (4), 4
LTEN 28, Introduction  to Asian American Literature (4), 4
LTEN 29, Introduction to Chicano Literature (4), 4
LTEN 30, Poetry for Physicists (4), 4
LTEN 87, Freshman Seminar (1), 1
LTEN 107, Chaucer (4), 4
LTEN 110, Topics: The Renaissance (4), 4
LTEN 112, Shakespeare I: The Elizabethan Period (4), 4
LTEN 113, Shakespeare II: The Jacobean Period (4), 4
LTEN 117, Topics: The Seventeenth Century (4), 4
LTEN 120, Topics: The Eighteenth Century (4), 4
LTEN 124, Topics: The Nineteenth Century (4), 4
LTEN 125, Romantic Poetry (4), 4
LTEN 127, Victorian Poetry (4), 4
LTEN 130, Modern British Literature (4), 4
LTEN 132, Modern Irish Literature (4), 4
LTEN 138, The British Novel: 1680–1790 (4), 4
LTEN 140, The British Novel: 1790–1830 (4), 4
LTEN 142, The British Novel: 1830–1890 (4), 4
LTEN 144, The British Novel: 1890 to Present (4), 4
LTEN 148, Genres in English and American Literature (4), 4
LTEN 149, Topics: English-Language Literature (4), 4
LTEN 150, Gender, Text, and Culture (4), 4
LTEN 152, The Origins of American Literature (4), 4
LTEN 153, The Revolutionary War and the Early National Period in US Literature (4), 4
LTEN 154, The American Renaissance (4), 4
LTEN 155, Interactions between American Literature and the Visual Arts (4), 4
LTEN 156, American Literature from the Civil War to World War I (4), 4
LTEN 157, Captivity and Prison Narratives (4), 4
LTEN 158, Modern American Literature (4), 4
LTEN 159, Contemporary American Literature (4), 4
LTEN 169, Topics in Latino/a Literature (4), 4
LTEN 171, Comparative Issues in Latino/a Immigration in US Literature (4), 4
LTEN 172, American  Poetry II—Whitman through the Modernists (4), 4
LTEN 174, American  Fiction II—Since Middle James (4), 4
LTEN 175A, New American Fiction—Post-World War II to the Present (4), 4
LTEN 175B, New American Poetry—Post-World War II to the Present (4), 4
LTEN 176, Major American Writers (4), 4
LTEN 178, Comparative Ethnic Literature (4), 4
LTEN 180, Chicano Literature in English (4), 4
LTEN 181, Asian American Literature (4), 4
LTEN 183, African American Prose (4), 4
LTEN 185, Themes in African American Literature (4), 4
LTEN 186, Literature of the Harlem Renaissance (4), 4
LTEN 188, Contemporary Caribbean Literature (4), 4
LTEN 189, Twentieth-Century  Postcolonial Literatures (4), 4
LTEN 192, Senior Seminar in Literatures in English (1), 1
LTEN 196, Honors Thesis (4), 4
LTEN 198, Directed Group Study (4), 4
LTEN 199, Special Studies (2 or 4), 2 or 4
LTEN 222, Elizabethan Studies (4), 4
LTEN 231, Restoration  and Eighteenth-Century English Literature (4), 4
LTEN 245, Nineteenth-Century American Studies (4), 4
LTEN 246, Victorian Literature (4), 4
LTEN 252, Studies  in Modern American Literature and Culture (4), 4
LTEN 254, Topics  in US Minority Literatures and Cultures (4), 4
LTEN 256, Postcolonial Discourses (4), 4
LTEN 258, Studies in Anglophone African and/or African Diaspora Literature and Culture (4), 4
LTEN 259, Transnational Literary Studies (4), 4
LTEN 271, Genres in English (4), 4
LTEN 272, Cultural Traditions in English (4), 4
LTEN 281, Practicum  in Literary Research and Criticism (4), 4
LTEN 297, Directed Studies: Reading Course (1–12), 1–12
LTEN 298, Special Projects: Writing Course (1–12), 1–12
LTEN 299, Dissertation (1–12), 1–12
LTFR 2A, Intermediate French I (5), 5
LTFR 2B, Intermediate French II (5), 5
LTFR 2C, Intermediate  French III: Composition and Cultural Contexts (4), 4
LTFR 50, Intermediate French III: Textual Analysis (4), 4
LTFR 115, Themes  in Intellectual and Literary History (4), 4
LTFR 116, Themes  in Intellectual and Literary History (4), 4
LTFR 121, The Middle Ages and the Renaissance (4), 4
LTFR 122, Topics in Seventeenth-Century French Literature (4), 4
LTFR 123, Eighteenth Century (4), 4
LTFR 124, Nineteenth Century (4), 4
LTFR 125, Twentieth Century (4), 4
LTFR 141, Topics in Literatures in French (4), 4
LTFR 142, Topics in Literary Genres in French (4), 4
LTFR 143, Topics in Major Authors in French (4), 4
LTFR 164, Topics in Modern French Culture (4), 4
LTFR 198, Directed Group Study (4), 4
LTFR 199, Special Studies (2 or 4), 2 or 4
LTFR 297, Directed Studies: Reading Course (1–12), 1–12
LTFR 298, Special Projects: Writing Course (1–12), 1–12
LTFR 299, Dissertation (1–12), 1–12
LTGM 2A, Intermediate German I (5), 5
LTGM 2B, Intermediate German II (5), 5
LTGM 2C, Intermediate German III (4), 4
LTGM 100, German Studies I: Aesthetic Cultures (4), 4
LTGM 101, German Studies II: National Identities (4), 4
LTGM 130, German Literary Prose (4), 4
LTGM 132, German Poetry (4), 4
LTGM 134, New German Cinema (4), 4
LTGM 190, Seminars in German Culture (4), 4
LTGM 198, Directed Group Study (4), 4
LTGM 199, Special Studies (2 or 4), 2 or 4
LTGM 297, Directed Studies: Reading Course (1–12), 1–12
LTGM 298, Special Projects: Writing Course (1–12), 1–12
LTGK 1, Beginning Greek (4), 4
LTGK 2, Intermediate Greek (I) (4), I) (4
LTGK 3, Intermediate Greek (II) (4), II) (4
LTGK 101, Greek Composition (4), 4
LTGK 102, Greek Poetry (4), 4
LTGK 103, Greek Drama (4), 4
LTGK 104, Greek Prose (4), 4
LTGK 105, Topics in Greek Literature (4), 4
LTGK 198, Directed Group Study (4), 4
LTGK 199, Special Studies (2 or 4), 2 or 4
LTIT 2A, Intermediate Italian I (5), 5
LTIT 2B, Intermediate Italian II (5), 5
LTIT 50, Advanced Italian (4), 4
LTIT 100, Introduction to Literatures in Italian (4), 4
LTIT 115, Medieval Studies (4), 4
LTIT 122, Studies in Modern Italian Culture (4), 4
LTIT 137, Studies in Modern Italian Prose (4), 4
LTIT 161, Advanced Stylistics and Conversation (4), 4
LTIT 192, Senior Seminar in Literatures in Italian (1), 1
LTIT 196, Honors Thesis (4), 4
LTIT 198, Directed Group Study (4), 4
LTIT 199, Special Studies (2 or 4), 2 or 4
LTKO 1A, Beginning Korean: First Year I (5), 5
LTKO 1B, Beginning Korean: First Year II (5), 5
LTKO 1C, Beginning Korean: First Year III (5), 5
LTKO 2A-B-C, Intermediate Korean: Second Year I-II-III (5-5-5), 5-5-5
LTKO 3, Advanced Korean: Third Year (5), 5
LTKO 100, Readings  in Korean Literature and Culture (4), 4
LTKO 149, Readings in Korean Language History and Structure (4), 4
LTLA 1, Beginning Latin (4), 4
LTLA 2, Intermediate Latin (I) (4), I) (4
LTLA 3, Intermediate Latin (II) (4), II) (4
LTLA 100, Introduction to Latin Literature (4), 4
LTLA 102, Latin Poetry (4), 4
LTLA 103, Latin Drama (4), 4
LTLA 104, Latin Prose (4), 4
LTLA 105, Topics in Latin Literature (4), 4
LTLA 198, Directed Group Study (4), 4
LTLA 199, Special Studies (2 or 4), 2 or 4
LTRU 1A, First-Year Russian (5), 5
LTRU 1B, First-Year Russian (5), 5
LTRU 1C, First-Year Russian (5), 5
LTRU 2A, Second-Year Russian (5), 5
LTRU 2B, Second-Year Russian (5), 5
LTRU 104A, Advanced Practicum in Russian (4), 4
LTRU 104B, Advanced Practicum in Russian: Analysis of Text and Film (4), 4
LTRU 104C, Advanced Practicum in Russian (4), 4
LTRU 110A, Survey of Russian and Soviet Literature in Translation, 1800–1860 (4), 4
LTRU 110B, Survey of Russian and Soviet Literature in Translation, 1860–1917 (4), 4
LTRU 110C, Survey of Russian and Soviet Literature in Translation, 1917–present (4), 4
LTRU 123, Single  Author in Russian Literature in Translation (4), 4
LTRU 150, Russian Culture (4), 4
LTRU 198, Directed Group Study (4), 4
LTRU 199, Special Studies (2 or 4), 2 or 4
LTSP 2A, Intermediate Spanish I: Foundations (5), 5
LTSP 2B, Intermediate  Spanish II: Readings and Composition (5), 5
LTSP 2C, Intermediate  Spanish III: Cultural Topics and Composition (4), 4
LTSP 2D, Intermediate/Advanced  Spanish: Spanish for Bilingual Speakers (4), 4
LTSP 2E, Advanced  Readings and Composition for Bilingual Speakers (4), 4
LTSP 50A, Readings in Peninsular Literature (4), 4
LTSP 50B, Readings in Latin American Literature (4), 4
LTSP 50C, Readings in Latin American Topics (4), 4
LTSP 87, Freshman Seminar (1), 1
LTSP 100, Major Works of the Middle Ages (4), 4
LTSP 116, Representations of Spanish Colonialism (4), 4
LTSP 119C, Cervantes: Don Quixote (4), 4
LTSP 122, The Romantic Movement in Spain (4), 4
LTSP 123, Topics in Modern Spanish Culture (4), 4
LTSP 129, Spanish Writing after 1939 (4), 4
LTSP 130A, Development of Spanish Literature (4), 4
LTSP 130B, Development of Latin American Literature (4), 4
LTSP 133, Contemporary  Latin American Literature (4), 4
LTSP 134, Literature of the Southern Cone (4), 4
LTSP 135A, Mexican Literature before 1910 (4), 4
LTSP 135B, Modern Mexican Literature (4), 4
LTSP 136, Andean Literatures (4), 4
LTSP 137, Caribbean Literature (4), 4
LTSP 138, Central American Literature (4), 4
LTSP 140, Latin American Novel (4), 4
LTSP 141, Latin American Poetry (4), 4
LTSP 142, Latin American Short Story (4), 4
LTSP 150A, Early Latino/a-Chicano/a Cultural Production: 1848 to 1960 (4), 4
LTSP 150B, Contemporary Chicano/a-Latino/a Cultural Production: 1960 to Present (4), 4
LTSP 151, Topics in Chicano/a-Latino/a Cultures (4), 4
LTSP 154, Latino/a and Chicano/a Literature (4), 4
LTSP 159, Methodological Approaches to the Study of History and Culture in Latin America and the Caribbean (4), 4
LTSP 160, Spanish Phonetics (4), 4
LTSP 162, Spanish Language in the United States (4), 4
LTSP 166, Creative Writing (4), 4
LTSP 170, Contemporary Theories of Cultural Production (4), 4
LTSP 171, Studies in Peninsular and/or Latin American Literature and Society (4), 4
LTSP 172, Indigenista  Themes in Latin American Literature (4), 4
LTSP 174, Topics in Culture and Politics (4), 4
LTSP 175, Gender, Sexuality, and Culture (4), 4
LTSP 176, Literature and Nation (4), 4
LTSP 177, Literary and Historical Migrations (4), 4
LTSP 196, Honors Thesis (4), 4
LTSP 198, Directed Group Study (4), 4
LTSP 199, Special Studies (2 or 4), 2 or 4
LTSP 258, Spanish American Prose (4), 4
LTSP 272, Literature and Society Studies (4), 4
LTSP 297, Directed Studies: Reading Course (1–12), 1–12
LTSP 298, Special Projects: Writing Course (1–12), 1–12
LTSP 299, Dissertation (1–12), 1–12
LTTH 110, History of Criticism (4), 4
LTTH 115, Introduction to Critical Theory (4), 4
LTTH 150, Topics in Critical Theory (4), 4
LTTH 198, Directed Group Study (4), 4
LTTH 199, Special Studies (2 or 4), 2 or 4
LTTH 210A, Proseminar on Literary Scholarship (4), 4
LTTH 210B, Introduction to Literary Theory (4), 4
LTTH 210C, Practicum in Literary Professionalization (4), 4
LTTH 250, Writing and Theory (4), 4
LTTH 255, Modern Art Movements and Aesthetics (4), 4
LTTH 298, Special Projects: Writing Course (1–12), 1–12
LTAF 110, African Oral Literature (4), 4
LTAF 120, Literature and Film of Modern Africa (4), 4
LTAM 87, Freshman Seminar (1), 1
LTAM 100, Latino/a Cultures in the United States (4), 4
LTAM 101, Early  Latino/a-Chicano/a Cultures: 1848–1960 (4), 4
LTAM 105, Gender  and Sexuality in Latino/a Cultural Production (4), 4
LTAM 106, Modern  Chicana and Mexican Women Writings (4), 4
LTAM 107, Comparative  Latino/a and US Ethnic Cultures (4), 4
LTAM 108, Chicano/a and Latino/a Cultures: Intellectual and Political Traditions (4), 4
LTAM 109, Cultural  Production of the Latino/a Diasporas (4), 4
LTAM 110, Latin American Literature in Translation (4), 4
LTAM 111, Comparative Caribbean Discourse (4), 4
LTAM 120, Iranian American Culture (4), 4
LTAM 130, Reading North by South (4), 4
LTAM 140, Topics in Culture and Politics (4), 4
LTEA 100A, Classical Chinese Poetry in Translation (4), 4
LTEA 100B, Modern Chinese Poetry in Translation (4), 4
LTEA 100C, Contemporary Chinese Poetry in Translation (4), 4
LTEA 110A, Classical Chinese Fiction in Translation (4), 4
LTEA 110B, Modern Chinese Fiction in Translation (4), 4
LTEA 110C, Contemporary Chinese Fiction in Translation (4), 4
LTEA 120A, Chinese Films (4), 4
LTEA 120B, Taiwan Films (4), 4
LTEA 120C, Hong Kong Films (4), 4
LTEA 132, Later Japanese Literature in Translation (4), 4
LTEA 138, Japanese Films (4), 4
LTEA 140, Modern  Korean Literature in Translation from Colonial Period (4), 4
LTEA 141, Modern Korean Literature in Translation from 1945 to Present (4), 4
LTEA 142, Korean  Film, Literature, and Popular Culture (4), 4
LTEA 143, Gender  and Sexuality in Korean Literature and Culture (4), 4
LTEA 144, Korean  American Literature and Other Literatures of Korean Diaspora (4), 4
LTEA 151, Readings  in Tagalog Literature and Culture I (4), 4
LTEA 152A, Topics in Filipino Literature and Culture (Nineteenth Century–World War  II) (4), Nineteenth Century–World War  II) (4
LTEA 152B, Topics in Filipino Literature and Culture (World War II–Present) (4), World War II–Present) (4
LTEA 198, Directed Group Study (4), 4
LTEA 199, Special Studies (2 or 4), 2 or 4
LTEU 87, Freshman Seminar (1), 1
LTEU 105, Medieval Studies (4), 4
LTEU 109, Studies  in Eighteenth-Century European Literature (4), 4
LTEU 110, European Romanticism (4), 4
LTEU 111, European Realism (4), 4
LTEU 125, Faust in European Literature (4), 4
LTEU 130, German Literature in Translation (4), 4
LTEU 137, Seminars in German Culture (4), 4
LTEU 139, Marx/Nietzsche/Freud (4), 4
LTEU 140, Italian Literature in Translation (4), 4
LTEU 145, Studies in Modern Italian Poetry (4), 4
LTEU 146, Studies in Modern Italian Prose (4), 4
LTEU 150A-B-C, Survey of Russian and Soviet Literature in Translation, 1800 to the Present (4-4-4), 4-4-4
LTEU 154, Russian Culture (4), 4
LTEU 158, Single  Author in Russian Literature in Translation (4), 4
LTWL 4A-C-D-F-M, Film and Fiction in Twentieth-Century Societies (4), 4
LTWL 19A-B-C, Introduction to the Ancient Greeks and Romans (4-4-4), 4-4-4
LTWL 87, Freshman Seminar (1), 1
TWS 21-22-23-24-25-26, Third World Literatures (4-4-4-4-4-4), 4-4-4-4-4-4
LTWL 100, Mythology (4), 4
LTWL 106, The Classical Tradition (4), 4
LTWL 110B, Folk and Fairy Tales (4), 4
LTWL 111, Medieval Studies (4), 4
LTWL 114, Children’s Literature (4), 4
LTWL 116, Adolescent Literature (4), 4
LTWL 120, Popular Literature and Culture (4), 4
LTWL 123, Vampires in Literature (4), 4
LTWL 124, Science Fiction (4), 4
LTWL 128, Introduction  to Semiotics and Applications (4), 4
LTWL 129, Wisdom: The Literature of Authority (4), 4
LTWL 134, Cinema and Islam (4), 4
LTWL 135, The Buddhist Imaginary (4), 4
LTWL 136, Socially Engaged Buddhism (4), 4
LTWL 138, Critical Religion Studies (4), 4
LTWL 140, Novel and History in the Third World (4), 4
LTWL 143, Arab Literatures and Cultures (4), 4
LTWL 144, Islam and Cinema (4), 4
LTWL 150, Modernity and Literature (4), 4
LTWL 155, Gender Studies (4), 4
LTWL 157, Iranian Film (4), 4
LTWL 158A, Topics in the New Testament (4), 4
LTWL 158B, Topics in Early Christian Texts and Cultures (4), 4
LTWL 158C, Topics in Other Christianities (4), 4
LTWL 159, Digital Middle East: Culture, Politics, and Religion (4), 4
LTWL 160, Women and Literature (4), 4
LTWL 165, Literature and the Environment (4), 4
LTWL 166, The Yiddish Novel (4), 4
LTWL 168, Death and Desire in India (4), 4
LTWL 169, Yoga, Body, and Transformation (4), 4
LTWL 172, Special Topics in Literature (4), 4
LTWL 176, Literature and Ideas (4), 4
LTWL 180, Film  Studies and Literature: Film History (4), 4
LTWL 181, Film  Studies and Literature: Film Movement (4), 4
LTWL 183, Film  Studies and Literature: Director’s Work (4), 4
LTWL 184, Film Studies and Literature: Close Analysis of Filmic Text (4), 4
LTWL 191, Honors Seminar (4), 4
LTWL 192, Senior  Seminar in Literatures of the World (1), 1
LTWL 194, Capstone Course for Literature Majors (4), 4
LTWL 194A, Honors Practicum (1), 1
LTWL 196, Honors Thesis (4), 4
LTWL 198, Directed Group Study (4), 4
LTWL 199, Special Studies (2 or 4), 2 or 4
LTWL 500, Apprentice Teaching in Literature (2 or 4), 2 or 4
LTWR 8A, Writing Fiction (4), 4
LTWR 8B, Writing Poetry (4), 4
LTWR 8C, Writing Nonfiction (4), 4
LTWR 100, Short Fiction Workshop (4), 4
LTWR 101, Writing Fiction in Spanish (4), 4
LTWR 102, Poetry Workshop (4), 4
LTWR 103, Digital Poetics Workshop (4), 4
LTWR 104A, The Novella I (4), 4
LTWR 104B, The Novella II (4), 4
LTWR 106, Science Fiction, Fantasy, and Irrealism Workshop (4), 4
LTWR 110, Screen Writing (4), 4
LTWR 113, Intercultural Writing Workshop (4), 4
LTWR 114, Graphic Texts Workshop (4), 4
LTWR 115, Experimental Writing Workshop (4), 4
